20 02:41:39.395  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:39.396  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:39.396  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:39.400  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:39.400  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:39.410  INFO  main ConnectionHandler run: Completed processing request 8
20 02:41:39.940  INFO  main ConnectionHandler run: Completed processing request 9
20 02:41:40.116  INFO  main ConnectionHandler nextRequest: request (10) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=42
20 02:41:40.119  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/power/status/power_state
20 02:41:40.220  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/Server_Info/status/system_state
20 02:41:40.225  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/power/status/S3Enable_state
20 02:41:40.339  INFO  main ConnectionHandler run: Completed processing request 10
20 02:41:40.418  INFO  main ConnectionHandler nextRequest: request (11) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:40.420  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:40.421  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:40.423  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:40.423  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:40.426  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:40.426  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:40.427  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:40.432  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:40.432  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:40.442  INFO  main ConnectionHandler run: Completed processing request 11
20 02:41:41.475  INFO  main ConnectionHandler nextRequest: request (12) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:41.477  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:41.478  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:41.480  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:41.480  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:41.482  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:41.482  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:41.483  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:41.488  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:41.489  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:41.492  INFO  main ConnectionHandler run: Completed processing request 12
20 02:41:42.455  INFO  main ConnectionHandler nextRequest: request (13) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:42.457  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:42.458  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:42.459  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:42.460  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:42.461  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:42.462  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:42.462  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:42.467  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:42.468  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:42.476  INFO  main ConnectionHandler run: Completed processing request 13
20 02:41:43.475  INFO  main ConnectionHandler nextRequest: request (14) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:43.477  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:43.478  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:43.480  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:43.480  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:43.482  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:43.483  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:43.483  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:43.489  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:43.490  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:43.497  INFO  main ConnectionHandler run: Completed processing request 14
20 02:41:44.459  INFO  main ConnectionHandler nextRequest: request (15) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:44.461  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:44.461  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:44.463  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:44.464  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:44.466  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:44.467  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:44.467  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:44.472  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:44.472  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:44.476  INFO  main ConnectionHandler run: Completed processing request 15
20 02:41:45.467  INFO  main ConnectionHandler nextRequest: request (16) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:45.469  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:45.469  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:45.471  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:45.471  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:45.473  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:45.473  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:45.474  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:45.479  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:45.479  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:45.487  INFO  main ConnectionHandler run: Completed processing request 16
